Name,County1,County2,County3,State,PM_Salary,Latitude,Longitude
Loyalton,Sierra,,,CA,61,39.68,-120.24
Pike,Sierra,,,CA,12,39.44,-121.00
Port Wine,Sierra,,,CA,12,39.66,-120.95
Saint Louis,Sierra,,,CA,59,39.54,-120.66
Scales Diggings,Sierra,,,CA,12,39.60,-120.99
Sierra City,Sierra,,,CA,85,39.57,-120.63
Sierraville,Sierra,,,CA,71,39.59,-120.37
Table Rock,Sierra,,,CA,140,39.71,-120.89
Bed Rock,Trinity,Siskiyou,Klamath,CA,12,,
Black Bear,Siskiyou,Klamath,,CA,12,41.26,-123.15
Callahans,Siskiyou,,,CA,13,41.31,-122.80
Cottage Grove,Siskiyou,Klamath,,CA,4,41.60,-123.51
Crystal Creek,Siskiyou,,,CA,12,41.52,-122.86
Edgewood,Siskiyou,,,CA,12,41.46,-122.43
Etna Mills,Siskiyou,,,CA,24,41.46,-122.89
Fort Jones,Siskiyou,,,CA,240,41.61,-122.84
Gazelle,Siskiyou,,,CA,12,41.52,-122.52
Happy Camp,Siskiyou,Modoc,,CA,26,41.79,-123.38
Henley,Siskiyou,,,CA,57,41.90,-122.56
Klamath,Siskiyou,Del Norte,,CA,12,41.53,-124.04
Little Shasta,Siskiyou,,,CA,12,41.71,-122.39
Oro Fino,Siskiyou,,,CA,35,41.58,-122.92
Petersburgh,Siskiyou,Klamath,,CA,12,41.12,-123.09
Sawyer's Bar,Siskiyou,Klamath,,CA,51,41.30,-123.13
Scott River,Siskiyou,,,CA,44,41.31,-122.80
Seiad Valley,Siskiyou,,,CA,9,41.84,-123.19
Sisson,Siskiyou,,,CA,12,41.31,-122.31
Virginia Ranch,Siskiyou,,,CA,12,,
Willow Ranch,Modoc,Siskiyou,,CA,12,41.90,-120.36
Yocumville,Siskiyou,Klamath,,CA,12,41.22,-123.25
Yreka,Siskiyou,,,CA,820,41.73,-122.64
Batavia,Solano,,,CA,12,38.41,-121.86
Benicia,Solano,,,CA,950,38.05,-122.16
Binghamton,Solano,,,CA,99,38.35,-121.82
Collinsville,Solano,,,CA,12,38.08,-121.85
Cordelia,Solano,,,CA,12,38.21,-122.14
Denverton,Solano,,,CA,50,38.22,-121.90
Dixon,Solano,,,CA,12,38.45,-121.82
Elmira,Solano,,,CA,12,38.35,-121.91
Maine Prairie,Solano,,,CA,40,38.31,-121.76
Rio Vista,Solano,Sacramento,,CA,95,38.16,-121.69
South Vallejo,Solano,,,CA,12,38.09,-122.24
Suisun City,Solano,,,CA,320,38.24,-122.04
Vacaville,Solano,,,CA,210,38.36,-121.99
Vallejo,Solano,,,CA,2000,38.10,-122.26
Alexanderville,Sonoma,,,CA,12,38.67,-122.82
Bloomfield,Sonoma,,,CA,160,38.31,-122.85
Bodega,Sonoma,,,CA,200,38.35,-122.97
Geyserville,Sonoma,,,CA,28,38.71,-122.90
Cloverdale,Sonoma,,,CA,90,38.81,-123.02
Duncan's Mills,Sonoma,,,CA,75,38.45,-123.06
Fisherman's Bay,Sonoma,,,CA,71,38.65,-123.40
Plantation,Sonoma,,,CA,12,38.59,-123.31
Freestone,Sonoma,,,CA,37,38.37,-122.92
Fulton,Sonoma,,,CA,27,38.49,-122.77
Guerneville,Sonoma,,,CA,12,38.50,-123.00
Healdsburg,Sonoma,Mendocino,,CA,560,38.61,-122.87
